group,met,tdt,bif,frog weight,sample_id,pesticide,rate,conc
tdt,-1,1,-1,4.08803,TDN MAX 7,tdt,Maximum,0.18854089
tdt,-1,1,-1,4.6015,TDN MAX 8,tdt,Maximum,0.466138777
mettdt,1,1,-1,2.70438,TM 10 1,met,1/10th Max,0.072603918
mettdt,1,1,-1,3.44938,TM 10 2,met,1/10th Max,0.349810069
mettdt,1,1,-1,2.67273,TM 10 3,met,1/10th Max,0.284401783
mettdt,1,1,-1,3.11913,TM 10 4,met,1/10th Max,0.20014472
mettdt,1,1,-1,4.94575,TM 10 5*2,met,1/10th Max,0.167752439
mettdt,1,1,-1,4.07006,TM 10 6,met,1/10th Max,0.26690249
mettdt,1,1,-1,3.68221,TM 10 7,met,1/10th Max,0.146231556
mettdt,1,1,-1,2.81167,TM 10 8,met,1/10th Max,0.180013677
mettdt,1,1,-1,2.46222,TM MAX 1,met,Maximum,1.31979888
mettdt,1,1,-1,3.12813,TM MAX 2,met,Maximum,1.290118057
mettdt,1,1,-1,3.66098,TM MAX 3,met,Maximum,1.9556543
mettdt,1,1,-1,3.83407,TM MAX 4,met,Maximum,0.674511363
mettdt,1,1,-1,2.74486,TM MAX 5,met,Maximum,1.889836248
mettdt,1,1,-1,2.83645,TM MAX 6,met,Maximum,1.897054658
mettdt,1,1,-1,2.63713,TM MAX 7,met,Maximum,2.990017152
mettdt,1,1,-1,3.22387,TM MAX 8,met,Maximum,4.046131238
mettdt,1,1,-1,2.70438,TM 10 1,tdt,1/10th Max,0.014126725
mettdt,1,1,-1,3.44938,TM 10 2,tdt,1/10th Max,0.062733725
mettdt,1,1,-1,2.67273,TM 10 3,tdt,1/10th Max,0.052134025
mettdt,1,1,-1,3.11913,TM 10 4,tdt,1/10th Max,0.02959404
mettdt,1,1,-1,4.94575,TM 10 5*2,tdt,1/10th Max,0.034488858
mettdt,1,1,-1,4.07006,TM 10 6,tdt,1/10th Max,0.037147319
mettdt,1,1,-1,3.68221,TM 10 7,tdt,1/10th Max,0.039921602
mettdt,1,1,-1,2.81167,TM 10 8,tdt,1/10th Max,0.031432338
mettdt,1,1,-1,2.46222,TM MAX 1,tdt,Maximum,0.211215757
mettdt,1,1,-1,3.12813,TM MAX 2,tdt,Maximum,0.144613773
mettdt,1,1,-1,3.66098,TM MAX 3,tdt,Maximum,0.282356132
mettdt,1,1,-1,3.83407,TM MAX 4,tdt,Maximum,0.10542327
mettdt,1,1,-1,2.74486,TM MAX 5,tdt,Maximum,0.365446882
mettdt,1,1,-1,2.83645,TM MAX 6,tdt,Maximum,0.292241761
mettdt,1,1,-1,2.63713,TM MAX 7,tdt,Maximum,0.416861811
mettdt,1,1,-1,3.22387,TM MAX 8,tdt,Maximum,0.687355258
bifmettdt,1,1,1,2.19297,TMB 10 1,met,1/10th Max,0.422172015
bifmettdt,1,1,1,3.90043,TMB 10 2,met,1/10th Max,0.379119058
bifmettdt,1,1,1,3.08223,TMB 10 3,met,1/10th Max,0.392817388
bifmettdt,1,1,1,4.64218,TMB 10 4,met,1/10th Max,0.029809487
bifmettdt,1,1,1,3.09445,TMB 10 5,met,1/10th Max,0.491945976
bifmettdt,1,1,1,3.27729,TMB 10 6,met,1/10th Max,0.45250331
bifmettdt,1,1,1,2.24268,TMB 10 7,met,1/10th Max,0.474065217
bifmettdt,1,1,1,3.80045,TMB 10 8,met,1/10th Max,0.227271709
bifmettdt,1,1,1,2.36009,TMB MAX 1,met,Maximum,0.849540751
bifmettdt,1,1,1,3.92043,TMB MAX 2,met,Maximum,3.485863233
bifmettdt,1,1,1,3.7417,TMB MAX 3,met,Maximum,0.534913854
bifmettdt,1,1,1,3.07945,TMB MAX 4,met,Maximum,2.217178709
bifmettdt,1,1,1,3.26942,TMB MAX 5,met,Maximum,0.906982786
bifmettdt,1,1,1,2.90877,TMB MAX 6,met,Maximum,2.209644474
bifmettdt,1,1,1,3.11787,TMB MAX 7,met,Maximum,3.638882442
bifmettdt,1,1,1,4.01293,TMB MAX 8,met,Maximum,2.062401656
bifmettdt,1,1,1,2.19297,TMB 10 1,tdt,1/10th Max,0.072947406
bifmettdt,1,1,1,3.90043,TMB 10 2,tdt,1/10th Max,0.057089044
bifmettdt,1,1,1,3.08223,TMB 10 3,tdt,1/10th Max,0.051659608
bifmettdt,1,1,1,4.64218,TMB 10 4,tdt,1/10th Max,0.009321115
bifmettdt,1,1,1,3.09445,TMB 10 5,tdt,1/10th Max,0.099790835
bifmettdt,1,1,1,3.27729,TMB 10 6,tdt,1/10th Max,0.069818082
bifmettdt,1,1,1,2.24268,TMB 10 7,tdt,1/10th Max,0.076882839
bifmettdt,1,1,1,3.80045,TMB 10 8,tdt,1/10th Max,0.065196036
bifmettdt,1,1,1,2.36009,TMB MAX 1,tdt,Maximum,0.140575907
bifmettdt,1,1,1,3.92043,TMB MAX 2,tdt,Maximum,0.492042465
bifmettdt,1,1,1,3.7417,TMB MAX 3,tdt,Maximum,0.108228486
bifmettdt,1,1,1,3.07945,TMB MAX 4,tdt,Maximum,0.264401557
bifmettdt,1,1,1,3.26942,TMB MAX 5,tdt,Maximum,0.120181868
bifmettdt,1,1,1,2.90877,TMB MAX 6,tdt,Maximum,0.391647931
bifmettdt,1,1,1,3.11787,TMB MAX 7,tdt,Maximum,0.740876519
bifmettdt,1,1,1,4.01293,TMB MAX 8,tdt,Maximum,0.230570061
bifmettdt,1,1,1,2.19297,TMB 10 1,bif,1/10th Max,0.114939598
bifmettdt,1,1,1,3.90043,TMB 10 2,bif,1/10th Max,0.092262595
bifmettdt,1,1,1,3.08223,TMB 10 3,bif,1/10th Max,0.02551122
bifmettdt,1,1,1,4.64218,TMB 10 4,bif,1/10th Max,0.011337348
bifmettdt,1,1,1,3.09445,TMB 10 5,bif,1/10th Max,0.099714845
bifmettdt,1,1,1,3.27729,TMB 10 6,bif,1/10th Max,0.213677976
bifmettdt,1,1,1,2.24268,TMB 10 7,bif,1/10th Max,0.14572334
bifmettdt,1,1,1,3.80045,TMB 10 8,bif,1/10th Max,0.124587737
bifmettdt,1,1,1,2.36009,TMB MAX 1,bif,Maximum,0.290805628
bifmettdt,1,1,1,3.92043,TMB MAX 2,bif,Maximum,0.467692383
bifmettdt,1,1,1,3.7417,TMB MAX 3,bif,Maximum,0.197174666
bifmettdt,1,1,1,3.07945,TMB MAX 4,bif,Maximum,0.379409382
bifmettdt,1,1,1,3.26942,TMB MAX 5,bif,Maximum,0.287218317
bifmettdt,1,1,1,2.90877,TMB MAX 6,bif,Maximum,0.465885553
bifmettdt,1,1,1,3.11787,TMB MAX 7,bif,Maximum,0.599557528
bifmettdt,1,1,1,4.01293,TMB MAX 8,bif,Maximum,0.358254938
